Test_Number,Experiment_ID,Profile,Start_X,Start_Y,Goal_X,Goal_Y,Euclidean_Distance,Dijkstra_Success,Dijkstra_Path_Length,Dijkstra_Cost,AStar_Success,AStar_Path_Length,AStar_Cost,Safety_Success,Safety_Path_Length,Safety_Cost,Balanced_Success,Balanced_Path_Length,Balanced_Cost
1,39,Dynamic,268.31,293.61,90.09,128.3,243.09,1,22,29.0118,1,22,29.0118,1,55,43.4467,1,24,8.9854
1,40,Offensive,45.64,329.02,98.75,98.62,236.45,1,24,25.2271,1,24,25.2271,1,50,5.6123,1,24,4.4997
1,40,Neutral,45.64,329.02,98.75,98.62,236.45,1,24,32.8937,1,24,32.8937,1,50,7.2456,1,24,5.9996
1,40,Defensive,45.64,329.02,98.75,98.62,236.45,1,24,48.2271,1,24,48.2271,1,50,10.5123,1,24,8.1009
1,40,Dynamic,45.64,329.02,98.75,98.62,236.45,1,24,25.2271,1,24,25.2271,1,50,5.6123,1,24,4.4997
1,41,Offensive,29.08,373.03,291.64,60.5,408.18,1,37,39.0442,1,37,40.4611,1,38,28.9472,1,37,10.6495
1,41,Neutral,29.08,373.03,291.64,60.5,408.18,1,37,51.0442,1,37,51.0442,1,38,30.1805,1,37,11.3097
1,41,Defensive,29.08,373.03,291.64,60.5,408.18,1,37,75.0442,1,37,75.0442,1,38,32.6472,1,37,15.9209
1,41,Dynamic,29.08,373.03,291.64,60.5,408.18,1,37,39.3775,1,37,40.7944,1,38,28.9805,1,37,11.3232
1,42,Offensive,148.32,213.17,27.5,201.22,121.41,1,13,12.0,1,13,12.3201,1,13,1.2,1,13,1.039
1,42,Neutral,148.32,213.17,27.5,201.22,121.41,1,13,16.0,1,13,16.0,1,13,1.6,1,13,1.0646
1,42,Defensive,148.32,213.17,27.5,201.22,121.41,1,13,24.0,1,13,24.0,1,13,2.4,1,13,0.963
1,42,Dynamic,148.32,213.17,27.5,201.22,121.41,1,13,12.0,1,13,12.3201,1,13,1.2,1,13,1.039
1,43,Offensive,97.69,327.84,352.8,420.31,271.35,1,29,28.9489,1,29,30.1163,1,30,2.9,1,27,10.5316
1,43,Neutral,97.69,327.84,352.8,420.31,271.35,1,29,38.2822,1,29,38.2822,1,30,3.8667,1,29,9.0322
1,43,Defensive,97.69,327.84,352.8,420.31,271.35,1,28,56.7522,1,28,56.7522,1,30,5.8,1,29,11.7391
1,43,Dynamic,97.69,327.84,352.8,420.31,271.35,1,29,28.9489,1,29,30.1163,1,30,2.9,1,30,7.558
1,44,Offensive,237.49,70.49,300.79,407.61,343.01,1,34,33.3387,1,35,35.0045,1,41,4.0,1,34,8.2611
1,44,Neutral,237.49,70.49,300.79,407.61,343.01,1,34,44.3387,1,34,44.3387,1,35,5.2456,1,36,6.7477
1,44,Defensive,237.49,70.49,300.79,407.61,343.01,1,34,66.3387,1,34,66.3387,1,35,7.5123,1,36,10.1216
1,44,Dynamic,237.49,70.49,300.79,407.61,343.01,1,34,33.3387,1,35,35.0045,1,41,4.0,1,34,8.2611
1,45,Offensive,243.99,163.33,440.38,211.19,202.13,1,21,26.1861,1,21,26.1861,1,21,63.8609,1,21,7.546
1,45,Neutral,243.99,163.33,440.38,211.19,202.13,1,21,32.8528,1,21,32.8528,1,21,64.5276,1,21,10.0613
1,45,Defensive,243.99,163.33,440.38,211.19,202.13,1,21,46.1861,1,21,46.1861,1,21,65.8609,1,21,15.0919
1,45,Dynamic,243.99,163.33,440.38,211.19,202.13,1,21,27.5194,1,21,27.5194,1,21,63.9943,1,21,12.7126
1,46,Offensive,85.08,344.02,300.87,452.97,241.73,1,23,35.1339,1,23,35.78,1,35,47.1153,1,25,15.4301
1,46,Neutral,85.08,344.02,300.87,452.97,241.73,1,23,42.4673,1,23,42.4673,1,35,48.2486,1,27,19.4746
1,46,Defensive,85.08,344.02,300.87,452.97,241.73,1,23,57.1339,1,23,57.1339,1,35,50.5153,1,35,17.3113
1,46,Dynamic,85.08,344.02,300.87,452.97,241.73,1,23,36.8006,1,23,37.4466,1,35,47.1486,1,25,18.5733
1,47,Offensive,392.57,390.67,470.18,97.98,302.81,1,31,30.0,1,31,30.0,1,31,3.0,1,31,3.7171
1,47,Neutral,392.57,390.67,470.18,97.98,302.81,1,31,40.0,1,31,40.0,1,31,4.0,1,31,4.5889
1,47,Defensive,392.57,390.67,470.18,97.98,302.81,1,31,60.0,1,31,60.0,1,31,6.0,1,31,6.8834
1,47,Dynamic,392.57,390.67,470.18,97.98,302.81,1,31,30.0,1,31,30.0,1,31,3.0,1,31,3.7171
1,48,Offensive,58.82,452.91,65.5,143.09,309.89,1,32,36.3806,1,32,36.3806,1,91,12.3451,1,34,9.7947
1,48,Neutral,58.82,452.91,65.5,143.09,309.89,1,32,46.7139,1,32,46.7139,1,91,15.3451,1,40,12.5334
1,48,Defensive,58.82,452.91,65.5,143.09,309.89,1,32,67.3806,1,32,67.3806,1,91,21.3451,1,40,17.6676
1,48,Dynamic,58.82,452.91,65.5,143.09,309.89,1,32,36.3806,1,32,36.3806,1,91,12.3451,1,34,9.7947
1,49,Offensive,348.02,289.38,173.67,194.11,198.68,1,19,19.568,1,19,19.719,1,22,17.165,1,18,4.2802
1,49,Neutral,348.02,289.38,173.67,194.11,198.68,1,19,25.568,1,19,25.568,1,22,17.865,1,19,4.354
1,49,Defensive,348.02,289.38,173.67,194.11,198.68,1,18,37.1143,1,18,37.1143,1,22,19.265,1,19,6.233
1,49,Dynamic,348.02,289.38,173.67,194.11,198.68,1,19,19.9013,1,19,20.0523,1,22,17.1983,1,18,4.8451
1,50,Offensive,260.43,425.0,336.25,52.26,380.37,1,38,37.0363,1,38,37.2239,1,38,4.0631,1,38,9.2487
